"Statistic Label","Year","Age Group","Sex","County and City","UNIT","VALUE"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Ireland","Number","5448144"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Carlow County Council","Number","65853"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Dublin City Council","Number","616389"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Dún Laoghaire Rathdown County Council","Number","245114"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Fingal County Council","Number","360895"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","South Dublin County Council","Number","329280"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Kildare County Council","Number","262779"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Kilkenny County Council","Number","109143"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Laois County Council","Number","95784"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Longford County Council","Number","47786"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Louth County Council","Number","151185"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Meath County Council","Number","234850"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Offaly County Council","Number","88169"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Westmeath County Council","Number","103499"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Wexford County Council","Number","173773"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Wicklow County Council","Number","164355"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Clare County Council","Number","135063"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Cork City Council","Number","232564"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Cork County Council","Number","377354"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Kerry County Council","Number","165866"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Limerick City & County Council","Number","217524"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Tipperary County Council","Number","178729"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Waterford City & County Council","Number","134502"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Galway City Council","Number","86250"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Galway County Council","Number","203798"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Leitrim County Council","Number","37772"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Mayo  County Council","Number","146394"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Roscommon County Council","Number","73837"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Sligo County Council","Number","73561"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Cavan County Council","Number","87451"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Donegal County Council","Number","177574"
"Population Estimates Using Administrative Sources","2023","All Years","Both sexes","Monaghan County Council","Number","71051"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Ireland","Number","2724518"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Carlow County Council","Number","33177"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Dublin City Council","Number","309952"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Dún Laoghaire Rathdown County Council","Number","119045"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Fingal County Council","Number","181333"
"Population Estimates Using Administrative Sources","2023","All Years","Male","South Dublin County Council","Number","164054"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Kildare County Council","Number","132567"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Kilkenny County Council","Number","54761"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Laois County Council","Number","48337"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Longford County Council","Number","24204"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Louth County Council","Number","75769"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Meath County Council","Number","118340"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Offaly County Council","Number","44463"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Westmeath County Council","Number","51831"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Wexford County Council","Number","86935"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Wicklow County Council","Number","81506"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Clare County Council","Number","66987"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Cork City Council","Number","115307"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Cork County Council","Number","188767"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Kerry County Council","Number","82295"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Limerick City & County Council","Number","109276"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Tipperary County Council","Number","90005"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Waterford City & County Council","Number","67402"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Galway City Council","Number","42222"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Galway County Council","Number","101992"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Leitrim County Council","Number","18782"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Mayo  County Council","Number","72829"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Roscommon County Council","Number","36906"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Sligo County Council","Number","36466"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Cavan County Council","Number","44124"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Donegal County Council","Number","88576"
"Population Estimates Using Administrative Sources","2023","All Years","Male","Monaghan County Council","Number","36308"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Ireland","Number","2723626"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Carlow County Council","Number","32676"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Dublin City Council","Number","306437"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Dún Laoghaire Rathdown County Council","Number","126069"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Fingal County Council","Number","179562"
"Population Estimates Using Administrative Sources","2023","All Years","Female","South Dublin County Council","Number","165226"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Kildare County Council","Number","130212"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Kilkenny County Council","Number","54382"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Laois County Council","Number","47447"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Longford County Council","Number","23582"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Louth County Council","Number","75416"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Meath County Council","Number","116510"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Offaly County Council","Number","43706"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Westmeath County Council","Number","51668"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Wexford County Council","Number","86838"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Wicklow County Council","Number","82849"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Clare County Council","Number","68076"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Cork City Council","Number","117257"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Cork County Council","Number","188587"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Kerry County Council","Number","83571"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Limerick City & County Council","Number","108248"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Tipperary County Council","Number","88724"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Waterford City & County Council","Number","67100"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Galway City Council","Number","44028"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Galway County Council","Number","101806"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Leitrim County Council","Number","18990"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Mayo  County Council","Number","73565"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Roscommon County Council","Number","36931"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Sligo County Council","Number","37095"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Cavan County Council","Number","43327"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Donegal County Council","Number","88998"
"Population Estimates Using Administrative Sources","2023","All Years","Female","Monaghan County Council","Number","34743"
